,0
ACN,2.7724186143881886e-13
ADBE,3.0110491045422726e-13
AKAM,2.7291604396984274e-13
AMD,2.7777693753106704e-11
APH,2.765334262954985e-13
ADI,2.6834072498070354e-13
ANSS,2.896171362719837e-13
AAPL,2.984722179272184e-13
AMAT,2.8573128205244594e-13
ANET,2.915153177320542e-13
ADSK,2.9718333875908517e-13
AVGO,2.763382402859644e-13
CDNS,3.1417008097881674e-13
CDW,2.8228819291188097e-13
CSCO,2.618272106934766e-13
GLW,2.649710561964851e-13
DXC,2.579092733775155e-13
ENPH,0.99999999995497
EPAM,2.9681032203932653e-13
FFIV,2.6877732380397636e-13
FICO,3.0683640566384134e-13
FSLR,2.725939693497931e-13
FTNT,3.0100454176328143e-13
IT,2.7046591134528133e-13
GEN,2.616823511176319e-13
HPE,2.5565103220807176e-13
HPQ,2.689697376545967e-13
IBM,2.510415988193764e-13
INTC,2.568716842764661e-13
INTU,2.9031121040063645e-13
JNPR,2.495059466580738e-13
KEYS,2.9876877099420607e-13
KLAC,2.8179521421229364e-13
LRCX,2.981202852985111e-13
MCHP,2.7118249680292713e-13
MU,2.8641039066610353e-13
MSFT,2.909814696048585e-13
MPWR,2.952692473007741e-13
MSI,2.794274765637661e-13
NTAP,2.741725250585954e-13
NVDA,3.455800473144876e-13
NXPI,2.649249396128438e-13
ON,2.76039841873934e-13
ORCL,2.647644648077798e-13
PAYC,3.744265408648737e-13
PTC,2.871676168770555e-13
QRVO,2.783991220962292e-13
QCOM,2.7824582201996145e-13
ROP,2.749979706725003e-13
CRM,2.780572456443834e-13
STX,2.624181011039789e-13
NOW,3.1317519522425727e-13
SWKS,2.621940598443088e-13
SNPS,3.061975273855501e-13
TEL,2.6682315692215283e-13
TDY,3.009264605832382e-13
TER,3.0205201597030606e-13
TXN,2.7214562139974693e-13
TRMB,2.8571024906359166e-13
TYL,2.8145801846818265e-13
VRSN,2.7435336400672464e-13
WDC,2.451421988044557e-13
ZBRA,3.1424342000095087e-13
