,0
ACN,8.081065753472774e-11
ADBE,9.85663302313569e-13
AKAM,0.032353967012427404
AMD,2.7149903948025317e-13
APH,4.966705126633714e-11
ADI,1.6118274363019546e-12
ANSS,2.4945931929153423e-12
AAPL,7.989957363202081e-12
AMAT,4.694402162537303e-13
ANET,7.097814527388348e-13
ADSK,5.272963532836966e-13
AVGO,9.947777619071898e-13
CDNS,2.9410903574656852e-12
CDW,1.773301150234583e-12
CSCO,5.408270677915989e-12
GLW,1.1218879502661011e-12
DXC,2.8604915425700524e-13
ENPH,2.8830756542786133e-13
EPAM,9.478747333856147e-13
FFIV,0.008603138288049435
FICO,7.59174329075705e-13
FSLR,0.0009225084781713628
FTNT,9.743391659342093e-13
IT,0.008246735446702591
GEN,0.06829532394427942
HPE,1.1518941352354984e-12
HPQ,1.1257311755208222e-12
IBM,0.12906274939307263
INTC,2.2010623412744034e-12
INTU,1.971883813197248e-12
JNPR,0.0990464078678375
KEYS,2.6593396363398267e-12
KLAC,9.887601892888407e-13
LRCX,5.251065236689801e-13
MCHP,5.733090620944005e-13
MU,3.764977810969408e-13
MSFT,1.9524131965324427e-12
MPWR,5.754523591605239e-13
MSI,0.12261858558777743
NTAP,1.5173395676981549e-12
NVDA,3.7775455390635305e-13
NXPI,9.562115959800142e-13
ON,3.043149932580721e-13
ORCL,0.18278997704314703
PAYC,3.4623460493185423e-13
PTC,1.0619224013098457e-12
QRVO,6.424385066597962e-13
QCOM,2.5991267575405043e-12
ROP,0.11142120371398498
CRM,8.848229306828494e-13
STX,4.061437772968156e-12
NOW,6.442887476077138e-13
SWKS,6.272899966998057e-13
SNPS,1.2932560480856746e-11
TEL,2.9105663641870794e-12
TDY,5.018511451654156e-12
TER,9.291112009982708e-13
TXN,3.0900030361692196e-12
TRMB,1.1614719518999826e-12
TYL,0.22159543475458113
VRSN,0.015043968253698458
WDC,4.0215220138182275e-13
ZBRA,6.685800649625298e-13
