,0
ACN,2.0300274087156658e-12
ADBE,2.5432378108909313e-12
AKAM,1.934336425389336e-12
AMD,0.27903989133623147
APH,1.6371813665317347e-12
ADI,8.546761027550412e-13
ANSS,2.6428918029493837e-12
AAPL,1.1527964211504291e-11
AMAT,9.64984809718189e-13
ANET,1.62684213445971e-12
ADSK,1.2048177392585129e-12
AVGO,7.781440413628353e-13
CDNS,0.18502770853719475
CDW,1.7148712907596557e-12
CSCO,8.904522243051376e-13
GLW,8.834183127115534e-13
DXC,2.896244767410152e-13
ENPH,0.24947225602281078
EPAM,1.593500611447816e-12
FFIV,1.1280047463386435e-12
FICO,2.8572574291061306e-12
FSLR,4.364038386117804e-13
FTNT,2.9867700203203087e-12
IT,1.2839972763289382e-12
GEN,7.555700924153926e-13
HPE,6.201557994146382e-13
HPQ,7.761488359143205e-13
IBM,5.015653523080282e-13
INTC,5.145186507476323e-13
INTU,2.5101304122041757e-12
JNPR,4.906484008583894e-13
KEYS,9.542136083069084e-12
KLAC,1.3095409440457985e-12
LRCX,1.8782574221423796e-12
MCHP,6.790131267980718e-13
MU,1.0212259891008253e-12
MSFT,2.4382581800554394e-12
MPWR,1.5971571852560394e-12
MSI,2.799075190886696e-12
NTAP,1.4589982579529972e-12
NVDA,0.13847623709045817
NXPI,4.938952603534303e-13
ON,4.661935234247923e-13
ORCL,1.1306023506282376e-12
PAYC,0.11195773660918837
PTC,1.30147817743138e-12
QRVO,8.475627299911559e-13
QCOM,1.5376940584223861e-12
ROP,1.989786565017223e-12
CRM,8.338739956048033e-13
STX,7.414129336214395e-13
NOW,4.046029005562361e-12
SWKS,3.758513120801087e-13
SNPS,0.03602617026225483
TEL,7.413306577708556e-13
TDY,8.233913503220015e-12
TER,5.015433453106028e-12
TXN,1.1009326436929338e-12
TRMB,1.2380705885228978e-12
TYL,2.434487548694732e-12
VRSN,1.3821168778461705e-12
WDC,1.696725936569131e-13
ZBRA,3.707945468851956e-11
