,0
ACN,0.01819446831194618
ADBE,2.052447504387092e-11
AKAM,0.04307663723445105
AMD,1.057730712371099e-11
APH,0.013758909570083114
ADI,2.63640984421136e-11
ANSS,5.180029551763905e-11
AAPL,0.02724287620774656
AMAT,9.936555952480859e-12
ANET,1.5604493994477144e-11
ADSK,1.0682638828458922e-11
AVGO,1.6747510330728875e-11
CDNS,1.3165140778159417e-10
CDW,3.873171041208442e-11
CSCO,7.080122683408682e-11
GLW,1.889675565768695e-11
DXC,5.641562612479581e-12
ENPH,1.7311697741449943e-11
EPAM,1.9532567164547593e-11
FFIV,0.01740484308610289
FICO,1.6119408004148242e-11
FSLR,1.3862228449240253e-10
FTNT,2.2222995768567666e-11
IT,0.0012663810572736414
GEN,0.05902878931334066
HPE,1.87622156782415e-11
HPQ,2.0994598309707803e-11
IBM,0.05336126463923282
INTC,2.750985897908992e-11
INTU,3.936028189485474e-11
JNPR,0.04867826479601105
KEYS,1.5571044635067563e-10
KLAC,1.9158417088390274e-11
LRCX,1.1367693240463486e-11
MCHP,1.0718049786394756e-11
MU,9.140451823642432e-12
MSFT,4.13892721331939e-11
MPWR,1.2743749331058403e-11
MSI,0.137717539390521
NTAP,3.82202323416827e-11
NVDA,1.104487471771299e-11
NXPI,1.4765141999536215e-11
ON,6.561119047996406e-12
ORCL,0.17912941913615182
PAYC,8.743748453769298e-12
PTC,2.0783873634427346e-11
QRVO,1.2335878610222416e-11
QCOM,5.143728711687912e-11
ROP,0.11103723527637056
CRM,1.5010819130083922e-11
STX,7.987406898474623e-11
NOW,1.532654818839396e-11
SWKS,1.0099014156758929e-11
SNPS,0.05911750893843517
TEL,4.0923699497102457e-11
TDY,0.014567366065492903
TER,2.4109360724578386e-11
TXN,6.03323469862467e-11
TRMB,2.2237471731667828e-11
TYL,0.21436778975328313
VRSN,0.0020507057586502046
WDC,6.7530045291254124e-12
ZBRA,1.7724902155547964e-11
